0	ALLEUR_NMATCH_sprime_results.bed	ALL1KG_NMATCH_sprime_results.bed	ALLEUR_sprime_results.bed	ALL1KG_sprime_results.bed
3mm_cylindrical_power_left.5119_irnt.bgz	0.014949473847638202	0.04774084395066463	0.017639703283914808	0.036402031694554006
3mm_cylindrical_power_right.5116_irnt.bgz	0.37945526517554384	0.2879012888595692	0.17800337911837594	0.18221959723296027
3mm_strong_meridian_angle_left.5104_irnt.bgz	0.21838617249074574	0.7352674170339898	0.05234406664823616	0.17984371088649634
3mm_strong_meridian_left.5135_irnt.bgz	0.4982954777639254	0.7988290452374411	0.02971832858007051	0.0614116046684616
3mm_strong_meridian_right.5132_irnt.bgz	0.5621432945506216	0.8023551072106619	0.021842511039768173	0.04112077686944215
3mm_weak_meridian_left.5096_irnt.bgz	0.9933840716599281	0.7963844864398477	0.10522743499741356	0.16512417738319418
3mm_weak_meridian_right.5099_irnt.bgz	0.9579829076252718	0.780697011794757	0.08739603962571942	0.16149885278034887
6mm_strong_meridian_left.5134_irnt.bgz	0.4056866804671059	0.7498704810459634	0.014085943301860944	0.033383343754086664
6mm_strong_meridian_right.5133_irnt.bgz	0.6937184023331393	0.9464632807960994	0.045077640695646126	0.0900354295839218
6mm_weak_meridian_left.5097_irnt.bgz	0.8696837564916194	0.507077566645842	0.15929702906755552	0.30027628692509983
6mm_weak_meridian_right.5098_irnt.bgz	0.9266966990047995	0.5517326902826842	0.1450384324097116	0.2834830716949013
Activities_undertaken_to_treat_depression:_Talking_therapies,_such_as_psychotherapy,_counselling,_group_therapy_or_CBT.20547_1.bgz	0.9406932538631578	0.650869333810913	0.6142753850520459	0.9599478921351018
Age_at_first_live_birth.2754_irnt.bgz	0.9182902904867388	0.5248374863386676	0.12780373099161246	0.03618726456524834
Age_at_last_live_birth.2764_irnt.bgz	0.24199370279192425	0.12265432027961992	0.03481031643289716	0.018211448125122397
Age_at_menopause_last_menstrual_period.3581_irnt.bgz	0.4606776973241749	0.4536418749312681	0.7470480194460779	0.7818116725939062
Age_completed_full_time_education.845.bgz	0.0039944237885025215	0.005344628329234348	1.796593798847141e-06	2.4242353746154967e-06
Age_first_had_sexual_intercourse.2139_irnt.bgz	0.70006030553017	0.8138646827072282	0.00282133260199717	0.0032245727469952176
Age_high_blood_pressure_diagnosed.2966_irnt.bgz	0.3127824464307877	0.4721985253689851	0.35507961672323873	0.5242326556317045
Age_started_oral_contraceptive_pill.2794_irnt.bgz	0.5541739026542502	0.6070917870501616	0.040309196185088006	0.0472240172759418
Age_started_smoking_in_former_smokers.2867_irnt.bgz	0.7617722954338298	0.5579646083608767	0.8886315593951157	0.9558146264179164
Age_started_wearing_glasses_or_contact_lenses.2217_irnt.bgz	0.839901489107253	0.8856243144726846	0.054193860733123725	0.024609041969347472
Age_when_periods_started_menarche.2714.bgz	0.8847782198761714	0.7419162474026458	0.26681100059732354	0.2831067592443028
Alanine_aminotransferase_UL.30620_irnt.gz	0.5889533659099591	0.16203366443067538	0.04719075331121176	0.011032470185762836
Albumin_gL.30600_irnt.gz	0.3611162570155951	0.41334309601949853	0.7578552244846184	0.6705015701211052
Alcohol_drinker_status:_Current.20117_2.bgz	0.44650898492445823	0.40906893444899095	0.18956135931165385	0.16115753365076713
Alcohol_intake_versus_10_years_previously.1628.bgz	0.4533559004749772	0.5309286460248618	0.3972381389440838	0.21749825480666088
Alcohol_usually_taken_with_meals.1618.bgz	0.530994810975044	0.509132036632609	0.09579792075651622	0.06931691624429084
Ankle_spacing_width.3143_irnt.bgz	0.7388513411387083	0.38620643610068106	0.006831454775363161	0.002780977543999353
Ankle_spacing_width_left.4100_irnt.bgz	0.9282184561110493	0.9447727157240272	0.004404058627416938	0.0012195411458516172
Ankle_spacing_width_right.4119_irnt.bgz	0.9955349980826022	0.9536027009508838	0.009085530094242992	0.006532037263552632
Answered_sexual_history_questions.2129.bgz	0.27868917315936914	0.4018135560615828	0.14465351883706096	0.24066700880986466
Any_ICDMAIN_event_in_hilmo_or_causes_of_death.ICDMAIN_ANY_ENTRY.bgz	0.4519283266677473	0.5008319637039618	0.6583032312028279	0.7305765865096091
Arm_fat-free_mass_left.23125_irnt.bgz	0.4194597057621573	0.2562024473029763	0.0002449906705114378	0.0005307278023509258
Arm_fat-free_mass_right.23121_irnt.bgz	0.5982113816364063	0.44403718343389786	0.0013065707178635194	0.0023350994639579838
Arm_fat_mass_left.23124_irnt.bgz	0.9043270911876068	0.6255878267552691	0.02852868514266121	0.013610036051146746
Arm_fat_mass_right.23120_irnt.bgz	0.9691967108838784	0.5635778401631263	0.02310144334834431	0.009559688947049123
Arm_fat_percentage_left.23123_irnt.bgz	0.5772139881746589	0.9737214990748442	0.09778666098234157	0.05324969322306859
Arm_fat_percentage_right.23119_irnt.bgz	0.7817219716140386	0.7945393216877376	0.050869485737032434	0.02396112609136453
Arm_predicted_mass_left.23126_irnt.bgz	0.492337611175567	0.2867812474236101	0.00038695989740110577	0.0008202140518194502
Arm_predicted_mass_right.23122_irnt.bgz	0.766622616177985	0.5955557145895845	0.002076643490728502	0.003818527825141901
Arthrosis.M13_ARTHROSIS.bgz	0.22411241628355288	0.22168617819337866	0.7976561333901184	0.833314931288733
Aspartate_aminotransferase_UL.30650_irnt.gz	0.6541699601280482	0.6017493893242215	0.2171813463702157	0.27630936469862344
Attendancedisabilitymobility_allowance:_Blue_badge.6146_3.bgz	0.8606563463090298	0.9665618065927194	0.5469718664909535	0.4400142071819248
Attendancedisabilitymobility_allowance:_Disability_living_allowance.6146_2.bgz	0.8251372515792285	0.8623910675865093	0.4593978541923135	0.4116178053101221
Attendancedisabilitymobility_allowance:_None_of_the_above.6146_100.bgz	0.8155393119694626	0.859526623256784	0.3160976549049559	0.2696580594119501
Average_weekly_beer_plus_cider_intake.1588.bgz	0.3583814302713966	0.25889171228546537	0.2342448991181905	0.12508458891088786
Average_weekly_champagne_plus_white_wine_intake.1578.bgz	0.5389040220460596	0.7332641660220346	0.3485022017735383	0.5531153119523007
Average_weekly_red_wine_intake.1568.bgz	0.6370449361023958	0.7827375642104422	0.0491755676929964	0.03658819321312829
Average_weekly_spirits_intake.1598.bgz	0.6065531911332902	0.8710225131168939	0.5392255281890338	0.4739113940000526
Basal_metabolic_rate.23105_irnt.bgz	0.7410713884953974	0.5308971266427236	0.003257362211291629	0.007293707213634784
Belief_that_own_life_is_meaningful.20460.bgz	0.13080390295219452	0.2260041342631287	0.00488045872656097	0.018376209531155308
Birth_weight.20022_irnt.bgz	0.6052246445961021	0.241195348537036	0.061977238629227126	0.02112037221888296
Birth_weight_of_first_child.2744.bgz	0.4432341439114745	0.5552551158834892	0.7934833784966606	0.7986427593067614
Blood_clot,_DVT,_bronchitis,_emphysema,_asthma,_rhinitis,_eczema,_allergy_diagnosed_by_doctor:_Asthma.6152_8.bgz	0.6643155078378942	0.5661230771626915	0.2806168344839629	0.32420346883521434
Blood_clot,_DVT,_bronchitis,_emphysema,_asthma,_rhinitis,_eczema,_allergy_diagnosed_by_doctor:_Hayfever,_allergic_rhinitis_or_eczema.6152_9.bgz	0.4604429937428031	0.3401923762776345	0.879641748003637	0.9936343981610872
Blood_clot,_DVT,_bronchitis,_emphysema,_asthma,_rhinitis,_eczema,_allergy_diagnosed_by_doctor:_None_of_the_above.6152_100.bgz	0.4776647355516624	0.4294145908332051	0.833077367070061	0.8320442511032434
Body_fat_percentage.23099_irnt.bgz	0.4184029844943461	0.7429647045540746	0.09501674679324669	0.05222739399983968
Body_mass_index_BMI.21001_irnt.bgz	0.97224190529393	0.683281645015429	0.016443679597289342	0.006510975924629465
Body_mass_index_BMI.23104_irnt.bgz	0.9944574533093576	0.6781421996795021	0.01650273838028046	0.007640995921938547
Bread_intake.1438_irnt.bgz	0.8121794220914315	0.9928946970063792	0.1194899131747084	0.2344165159157645
Bread_type:_White.1448_1.bgz	0.16873631432128738	0.2849706119751415	0.00867237537348758	0.012171395263783146
Bread_type:_Wholemeal_or_wholegrain.1448_3.bgz	0.05666232435411867	0.09265094439955891	0.0007376379592731215	0.0007911637419728454
Calcium_mmolL.30680_irnt.gz	0.4005571898749791	0.3367738944656756	0.01414380676159352	0.010494533943435287
Cereal_intake.1458.bgz	0.4747253681230578	0.4590748650278428	0.7476289708711867	0.5442946563042188
Cereal_type:_Muesli.1468_4.bgz	0.5725226937916559	0.6253667852916316	0.3539085054646498	0.21306969264639564
Cereal_type:_Other_e.g._Cornflakes,_Frosties.1468_5.bgz	0.09792411781757457	0.16104676496275194	0.025249257447943454	0.02232737743107451
Chest_pain_or_discomfort.2335.bgz	0.880595603087632	0.96073306134679	0.03886298059063376	0.07413261086066
Coffee_intake.1498.bgz	0.14039792726201014	0.2929391653903413	0.01065595369298618	0.02257868902186427
Coffee_type:_Ground_coffee_include_espresso,_filter_etc.1508_3.bgz	0.22622505194590986	0.09557650711951908	0.02169171489193256	0.002279714099090013
Coffee_type:_Instant_coffee.1508_2.bgz	0.982420905541434	0.8124959397308242	0.4566119611558652	0.2018212158257652
Comparative_body_size_at_age_10.1687.bgz	0.7583352109064496	0.6430231057589146	0.042213197851043605	0.016366413024602053
Comparative_height_size_at_age_10.1697.bgz	0.8136360414647502	0.6482168867233497	0.11994658446483565	0.05897611415263348
Cooked_vegetable_intake.1289.bgz	0.17260960254810612	0.1225672744127254	0.5952865186129277	0.6359168556300068
Corneal_hysteresis_left.5264_irnt.bgz	0.1882990235625302	0.612765648009376	0.061111656841567434	0.19189343827694474
Corneal_hysteresis_right.5256_irnt.bgz	0.7857388724310448	0.5798480260233703	0.4536019129047865	0.9000234929755504
Corneal_resistance_factor_left.5265_irnt.bgz	0.3476597713316485	0.7035894447020247	0.2356786659987789	0.4426182647473487
Corneal_resistance_factor_right.5257_irnt.bgz	0.654388590829669	0.8820692414291995	0.4197753763996894	0.8569864052569
Creatinine_enzymatic_in_urine.30510_irnt.bgz	0.027696660807559902	0.04364833242900302	0.00010286632271074356	0.0002956270774270877
Creatinine_umolL.30700_irnt.gz	0.14158956676409018	0.12811146178094046	0.9771926464591932	0.9178315720547334
Current_employment_status:_Unable_to_work_because_of_sickness_or_disability.6142_4.bgz	0.5579297068185958	0.5652291377878939	0.12406531633274805	0.0753034073793959
Current_tobacco_smoking.1239.bgz	0.8738224777347587	0.6906341916676706	0.05792463068023914	0.0380510568098742
Daytime_dozing__sleeping_narcolepsy.1220.bgz	0.2638093539275578	0.3064625348546621	0.11320315051549247	0.09823108144173044
Destinations_on_discharge_from_hospital_recoded:_Usual_Place_of_residence.41248_1000.bgz	0.2097372392728644	0.12886698759740048	0.5854567745848466	0.4546390094759135
Diabetes_diagnosed_by_doctor.2443.bgz	0.46483056188166	0.869706714015959	0.9157437640108204	0.5587028911564984
Diagnoses_-_main_ICD10:_K57_Diverticular_disease_of_intestine.K57.bgz	0.6145092966861834	0.9910656633293986	0.6913752146056991	0.34049047116524
