0	ALLEUR_NMATCH_sprime_results.bed	ALL1KG_NMATCH_sprime_results.bed	ALLEUR_sprime_results.bed	ALL1KG_sprime_results.bed
3mm_cylindrical_power_left.5119_irnt.bgz	0.813014866627	0.748989845326	0.388872180369	0.369499478509
3mm_cylindrical_power_right.5116_irnt.bgz	0.651354460881	0.5889684859650001	0.29669201443000004	0.266525559861
3mm_strong_meridian_angle_left.5104_irnt.bgz	0.828002460064	0.811663458125	0.362761044575	0.348047871692
3mm_strong_meridian_left.5135_irnt.bgz	0.385810383716	0.372222330575	0.18004191724500002	0.16978280403299997
3mm_strong_meridian_right.5132_irnt.bgz	0.38630660289499996	0.36558823756700004	0.177524554604	0.164854838157
3mm_weak_meridian_left.5096_irnt.bgz	0.38643797751100006	0.369212618402	0.17952948117800002	0.16795055562
3mm_weak_meridian_right.5099_irnt.bgz	0.38761586306	0.366344183379	0.184788106357	0.17255930055500002
6mm_strong_meridian_left.5134_irnt.bgz	0.375319175131	0.366103877692	0.17991827108300001	0.168796294868
6mm_strong_meridian_right.5133_irnt.bgz	0.405271566186	0.391072928413	0.191605791424	0.180152085038
6mm_weak_meridian_left.5097_irnt.bgz	0.396656983213	0.388417623769	0.187462108154	0.17631627730799998
6mm_weak_meridian_right.5098_irnt.bgz	0.398493917852	0.393834004376	0.191111692368	0.17940662785300002
Activities_undertaken_to_treat_depression:_Talking_therapies,_such_as_psychotherapy,_counselling,_group_therapy_or_CBT.20547_1.bgz	1.13961023581	1.1123369748899998	0.499256389623	0.474931513824
Age_at_first_live_birth.2754_irnt.bgz	0.39147409829700003	0.36316957173799996	0.185363172718	0.169321308818
Age_at_last_live_birth.2764_irnt.bgz	0.480714368924	0.458668777475	0.21524112106999996	0.203612010122
Age_at_menopause_last_menstrual_period.3581_irnt.bgz	1.31975252933	1.1743383130399998	0.520272329637	0.469248814014
Age_completed_full_time_education.845.bgz	0.331563203985	0.31542239665	0.147151363552	0.141796135991
Age_first_had_sexual_intercourse.2139_irnt.bgz	0.330228684171	0.302663936172	0.14145171173	0.131183178038
Age_high_blood_pressure_diagnosed.2966_irnt.bgz	0.843764749087	0.793915350787	0.380937775455	0.356174898885
Age_started_oral_contraceptive_pill.2794_irnt.bgz	0.656469827783	0.624776860617	0.292363034342	0.277312934362
Age_started_smoking_in_former_smokers.2867_irnt.bgz	1.1859713701	1.1187845004299999	0.523581097	0.469563050076
Age_started_wearing_glasses_or_contact_lenses.2217_irnt.bgz	0.41205011134499997	0.377868714134	0.17318155896499998	0.15883226962400002
Age_when_periods_started_menarche.2714.bgz	0.331002941677	0.31135501272599997	0.156512262766	0.15425539444
Alanine_aminotransferase_UL.30620_irnt.gz	0.364598939146	0.32925089539700003	0.185069385328	0.170097314758
Albumin_gL.30600_irnt.gz	0.373694513987	0.35641788446999995	0.180485208931	0.168563831884
Alcohol_drinker_status:_Current.20117_2.bgz	0.8830724825730001	0.848944059544	0.385878517673	0.3752467422
Alcohol_intake_versus_10_years_previously.1628.bgz	0.593702387004	0.5604733536550001	0.268782158485	0.25559877825
Alcohol_usually_taken_with_meals.1618.bgz	0.478312149378	0.459171397739	0.210308881978	0.19205227995000002
Ankle_spacing_width.3143_irnt.bgz	0.33198169674600003	0.307142393338	0.149516394764	0.145315388317
Ankle_spacing_width_left.4100_irnt.bgz	0.338684981919	0.30556860723	0.152767021193	0.139610080711
Ankle_spacing_width_right.4119_irnt.bgz	0.35242107318800003	0.32374354651500004	0.16078324766899998	0.1480682864
Answered_sexual_history_questions.2129.bgz	0.738639610798	0.7274549594320001	0.33189346588199997	0.312097182503
Any_ICDMAIN_event_in_hilmo_or_causes_of_death.ICDMAIN_ANY_ENTRY.bgz	0.795797941267	0.744084343114	0.382542212386	0.34793640609300003
Arm_fat-free_mass_left.23125_irnt.bgz	0.266630536996	0.24145507090100002	0.116026436121	0.10971942432
Arm_fat-free_mass_right.23121_irnt.bgz	0.27286571863000003	0.246182976866	0.120131291892	0.112863266569
Arm_fat_mass_left.23124_irnt.bgz	0.285094783455	0.242090428962	0.13910975275499998	0.117242393312
Arm_fat_mass_right.23120_irnt.bgz	0.280569223064	0.23960685503499998	0.138435172267	0.116035053857
Arm_fat_percentage_left.23123_irnt.bgz	0.27911627848299997	0.240133640606	0.135062518309	0.114498585271
Arm_fat_percentage_right.23119_irnt.bgz	0.278401512897	0.24086708295899997	0.134677835134	0.11522871305
Arm_predicted_mass_left.23126_irnt.bgz	0.258864818722	0.235499177522	0.11454194120200001	0.109087146638
Arm_predicted_mass_right.23122_irnt.bgz	0.26985082549199996	0.245719301241	0.11799488932600001	0.111880069856
Arthrosis.M13_ARTHROSIS.bgz	0.5712460518	0.558518360614	0.263497824951	0.24784225040199998
Aspartate_aminotransferase_UL.30650_irnt.gz	0.379646414812	0.348842637308	0.20891745354400001	0.198126821441
Attendancedisabilitymobility_allowance:_Blue_badge.6146_3.bgz	0.869225275874	0.8010421489749999	0.39908702433700005	0.371378144031
Attendancedisabilitymobility_allowance:_Disability_living_allowance.6146_2.bgz	0.6354400887780001	0.606462927936	0.274402350398	0.26067298200100003
Attendancedisabilitymobility_allowance:_None_of_the_above.6146_100.bgz	0.61317475179	0.5789694126439999	0.268130957925	0.25336683665
Average_weekly_beer_plus_cider_intake.1588.bgz	0.528543632647	0.48823911288099997	0.251313289388	0.23214793733000003
Average_weekly_champagne_plus_white_wine_intake.1578.bgz	0.882448126371	0.8466326627959999	0.419582173373	0.388466188424
Average_weekly_red_wine_intake.1568.bgz	0.471652429467	0.48170703597099995	0.20157424041299998	0.19462118800099998
Average_weekly_spirits_intake.1598.bgz	0.768137379175	0.72893916202	0.33998933214	0.324460989787
Basal_metabolic_rate.23105_irnt.bgz	0.258408299532	0.233365000094	0.116485621502	0.110827443391
Belief_that_own_life_is_meaningful.20460.bgz	0.926443212441	0.8637247653210001	0.432983707507	0.413882301403
Birth_weight.20022_irnt.bgz	0.45159608024899994	0.40932707040700006	0.19262861258400002	0.18375130668200002
Birth_weight_of_first_child.2744.bgz	0.523671006063	0.49451672865099994	0.23444227339899998	0.226149918032
Blood_clot,_DVT,_bronchitis,_emphysema,_asthma,_rhinitis,_eczema,_allergy_diagnosed_by_doctor:_Asthma.6152_8.bgz	0.586555607508	0.536773150383	0.265387845033	0.24167371763599999
Blood_clot,_DVT,_bronchitis,_emphysema,_asthma,_rhinitis,_eczema,_allergy_diagnosed_by_doctor:_Hayfever,_allergic_rhinitis_or_eczema.6152_9.bgz	0.8564759190860001	0.79469347102	0.430840074714	0.388332792113
Blood_clot,_DVT,_bronchitis,_emphysema,_asthma,_rhinitis,_eczema,_allergy_diagnosed_by_doctor:_None_of_the_above.6152_100.bgz	0.806358758994	0.741927058037	0.396053310957	0.355007142704
Body_fat_percentage.23099_irnt.bgz	0.263670153981	0.227795809092	0.127006195957	0.10997150309499999
Body_mass_index_BMI.21001_irnt.bgz	0.30329086765200003	0.25714822146899996	0.146879454787	0.120805687744
Body_mass_index_BMI.23104_irnt.bgz	0.299260298304	0.254620632458	0.144602429602	0.11949918993200001
Bread_intake.1438_irnt.bgz	0.529204440559	0.529254252794	0.228281695691	0.22488883147100003
Bread_type:_White.1448_1.bgz	0.36370267250699995	0.367922664809	0.160477465001	0.153094777588
Bread_type:_Wholemeal_or_wholegrain.1448_3.bgz	0.510069902863	0.48098422192699997	0.21549655007	0.19948201208799998
Calcium_mmolL.30680_irnt.gz	0.344208378542	0.310425913995	0.16522303509400002	0.148825152167
Cereal_intake.1458.bgz	0.544222115374	0.497040320748	0.240203904586	0.21549340829100003
Cereal_type:_Muesli.1468_4.bgz	0.595445410966	0.571094591076	0.260321603438	0.245927370391
Cereal_type:_Other_e.g._Cornflakes,_Frosties.1468_5.bgz	0.554148022042	0.571197050245	0.277315332972	0.271262317893
Chest_pain_or_discomfort.2335.bgz	0.5577086604720001	0.536845064815	0.241638691821	0.22821825061700002
Coffee_intake.1498.bgz	0.500686376274	0.520082534439	0.246797503536	0.246738387152
Coffee_type:_Ground_coffee_include_espresso,_filter_etc.1508_3.bgz	0.46301804614799996	0.43972074665	0.215501706053	0.20101145833200001
Coffee_type:_Instant_coffee.1508_2.bgz	0.742469817305	0.703401019868	0.33434416982799997	0.30917426705400003
Comparative_body_size_at_age_10.1687.bgz	0.34043467920599996	0.311988710587	0.162021637466	0.144280051134
Comparative_height_size_at_age_10.1697.bgz	0.362814448099	0.343424475994	0.16863526662300002	0.162238376521
Cooked_vegetable_intake.1289.bgz	0.59642734837	0.569815619939	0.252669126873	0.23655536638900002
Corneal_hysteresis_left.5264_irnt.bgz	0.571169564035	0.550901027578	0.249539879366	0.24062423728000001
Corneal_hysteresis_right.5256_irnt.bgz	0.615498727259	0.613545400372	0.26142758027199997	0.260155395707
Corneal_resistance_factor_left.5265_irnt.bgz	0.611633362879	0.595860783672	0.288310768959	0.280634720795
Corneal_resistance_factor_right.5257_irnt.bgz	0.6177228193959999	0.615603465635	0.274850207674	0.277059619042
Creatinine_enzymatic_in_urine.30510_irnt.bgz	0.358791663021	0.325574939617	0.16173207545999999	0.150141650796
Creatinine_umolL.30700_irnt.gz	0.474328773416	0.44032371838699996	0.246594743434	0.221747665496
Current_employment_status:_Unable_to_work_because_of_sickness_or_disability.6142_4.bgz	0.835446951617	0.77874872443	0.36085427665700004	0.33079214756499997
Current_tobacco_smoking.1239.bgz	0.40605341813199997	0.38975013267499997	0.17753759499000002	0.17240085034299998
Daytime_dozing__sleeping_narcolepsy.1220.bgz	0.491058119808	0.449369681527	0.209348893435	0.18777420201699999
Destinations_on_discharge_from_hospital_recoded:_Usual_Place_of_residence.41248_1000.bgz	0.834075904257	0.794892379088	0.340448782592	0.314453909828
Diabetes_diagnosed_by_doctor.2443.bgz	0.632399922586	0.578560590407	0.27490739546799997	0.249895713053
Diagnoses_-_main_ICD10:_K57_Diverticular_disease_of_intestine.K57.bgz	0.848859081576	0.7708636827959999	0.373852564008	0.33355680241700003
Diagnoses_-_main_ICD10:_M17_Gonarthrosis_arthrosis_of_knee.M17.bgz	0.749802275188	0.750270782382	0.33077453250300004	0.31358861517299996
Diagnoses_-_main_ICD10:_R07_Pain_in_throat_and_chest.R07.bgz	0.655001582147	0.659458120753	0.281770625571	0.275005319014
Diastolic_blood_pressure,_automated_reading.4079_irnt.bgz	0.301031704621	0.283047369274	0.135129606196	0.127629385573
Diseases_of_the_circulatory_system.IX_CIRCULATORY.bgz	0.8228841988950001	0.904433180485	0.349209960228	0.36020842892300003
Diseases_of_the_digestive_system.XI_DIGESTIVE.bgz	0.616470141491	0.580978809611	0.263658966962	0.247971100528
Diseases_of_the_musculoskeletal_system_and_connective_tissue.XIII_MUSCULOSKELET.bgz	0.539561284079	0.507728244415	0.23523682071999996	0.210541753688
Diseases_of_the_nervous_system.VI_NERVOUS.bgz	0.970667384099	0.9331460129260001	0.432598356974	0.39896103758199997
Diseases_of_veins,_lymphatic_vessels_and_lymph_nodes,_not_elsewhere_classified.I9_DISVEINLYMPH.bgz	0.833669529929	1.11998320037	0.348521454387	0.43617476737899996
Disorders_of_gallbladder,_biliary_tract_and_pancreas.K11_GALLBILPANC.bgz	0.784952989883	0.738876536128	0.37769522791500004	0.34061949903899996
Disorders_of_lens.H7_LENS.bgz	1.10099938391	1.0030999374299998	0.42208738584	0.37973282726999996
Doctor_diagnosed_hayfever_or_allergic_rhinitis.22126.bgz	0.982400155423	0.930414111613	0.459564992848	0.41850962363099997
Dried_fruit_intake.1319.bgz	0.43777188622	0.425485542523	0.207981810554	0.195286570981
Drive_faster_than_motorway_speed_limit.1100.bgz	0.42887155896799994	0.397895547891	0.203382509399	0.19130781588799997
Duration_of_moderate_activity.894.bgz	0.762772388713	0.7503604706460001	0.355723012518	0.341853903046
Duration_of_vigorous_activity.914_irnt.bgz	0.956580510519	0.880968642484	0.41830776753399995	0.388607766206
Duration_of_walks.874_irnt.bgz	0.518442667162	0.5010622118860001	0.23727555452799998	0.219743488179
Duration_screen_displayed.4290_irnt.bgz	0.48833104772	0.470155912783	0.217442781085	0.20812014299800002
Duration_to_first_press_of_snap-button_in_each_round.404_irnt.bgz	0.374238114693	0.352083386901	0.175991832658	0.163260657972
Eosinophill_count.30150.bgz	0.539663811629	0.472828172974	0.244256215199	0.20743421192400002
Eosinophill_percentage.30210_irnt.bgz	0.42053267861599997	0.385131492985	0.21000316714499997	0.18276283775600002
Ever_depressed_for_a_whole_week.4598.bgz	0.846694762266	0.82672938469	0.35728557960699997	0.343302250477
Ever_felt_worried,_tense,_or_anxious_for_most_of_a_month_or_longer.20421.bgz	1.21085697356	1.1458176441799999	0.533330170471	0.498494028209
Ever_had_period_extreme_irritability.20502.bgz	0.8628736202509999	0.7697863468549999	0.392388839682	0.353299447204
Ever_had_prolonged_feelings_of_sadness_or_depression.20446.bgz	0.869656665609	0.8562490449600001	0.364878402482	0.34804976504900004
Ever_had_prolonged_loss_of_interest_in_normal_activities.20441.bgz	0.862998197915	0.883983544172	0.418316226646	0.398525051334
Ever_smoked.20160.bgz	0.447832793642	0.419792185617	0.197442068871	0.18037918004099998
Ever_sought_or_received_professional_help_for_mental_distress.20499.bgz	0.8025244078579999	0.8092156557100001	0.346977311805	0.343751612481
Ever_suffered_mental_distress_preventing_usual_activities.20500.bgz	1.1853956556	1.17404068327	0.502488468812	0.485168686222
Ever_thought_that_life_not_worth_living.20479.bgz	0.7612482310519999	0.749549427139	0.35602797799	0.346082387974
Ever_used_hormone-replacement_therapy_HRT.2814.bgz	0.841794573532	0.805035100864	0.36859872219499995	0.33900819657799997
Exposure_to_tobacco_smoke_outside_home.1279.bgz	1.05167339184	0.981180074392	0.443900355056	0.39792749248899995
Facial_ageing.1757.bgz	0.354163752175	0.336011314919	0.151922266801	0.143220757773
Falls_in_the_last_year.2296.bgz	0.649151392265	0.6072146573789999	0.300892405433	0.281028912591
Family_relationship_satisfaction.4559.bgz	0.834574192781	0.826831914787	0.36176718964000004	0.349971187623
Fathers_age_at_death.1807_irnt.bgz	0.741015535958	0.6715359270469999	0.32634779958	0.288869686638
Fed-up_feelings.1960.bgz	0.36380724327299996	0.32496998735599997	0.164697745843	0.148854070315
Felt_hated_by_family_member_as_a_child.20487.bgz	1.053104145	0.9563805161839999	0.42447522321000003	0.387648729858
Felt_loved_as_a_child.20489.bgz	0.785100668093	0.748289919866	0.324911691861	0.30689063937600003
Felt_very_upset_when_reminded_of_stressful_experience_in_past_month.20498.bgz	0.855505737747	0.812603136125	0.408593076286	0.387789223126
FI3_:_word_interpolation.4957.bgz	0.66789430912	0.623989596211	0.325604145276	0.294955582174
FI4_:_positional_arithmetic.4968.bgz	0.8712946077320001	0.837913129734	0.378398946759	0.35877611630199996
FI6_:_conditional_arithmetic.4990.bgz	0.606628704839	0.578047953313	0.279475461181	0.265212779028
FI8_:_chained_arithmetic.5012.bgz	0.7745758743889999	0.7703397732709999	0.325467886418	0.308621150011
Financial_situation_satisfaction.4581.bgz	0.824254028889	0.7744281379699999	0.374896484006	0.353912030136
Fluid_intelligence_score.20016_irnt.bgz	0.450714658093	0.415607750374	0.20309224606100001	0.186297777689
Forced_expiratory_volume_in_1-second_FEV1.3063_irnt.bgz	0.328604061108	0.302356728729	0.154018125626	0.149423679375
Forced_expiratory_volume_in_1-second_FEV1,_Best_measure.20150_irnt.bgz	0.351113489918	0.33109090827300003	0.16922830516399998	0.162120801246
Forced_expiratory_volume_in_1-second_FEV1,_predicted.20153_irnt.bgz	0.450236366707	0.443553244749	0.196403158884	0.20107872984900002
Forced_expiratory_volume_in_1-second_FEV1,_predicted_percentage.20154_irnt.bgz	0.47422469092	0.462504169488	0.19796266375500002	0.18716234615
Forced_vital_capacity_FVC.3062_irnt.bgz	0.35371271373499996	0.319992582886	0.156082349581	0.165229876116
Forced_vital_capacity_FVC,_Best_measure.20151_irnt.bgz	0.367502001882	0.337322207002	0.167749602875	0.17481106907900001
Fracturedbroken_bones_in_last_5_years.2463.bgz	1.17400420248	1.08742500502	0.44654714989100003	0.41265606184299997
Frequency_of_depressed_mood_in_last_2_weeks.2050.bgz	0.538603871787	0.51624148288	0.255071104729	0.241352762879
Frequency_of_tenseness__restlessness_in_last_2_weeks.2070.bgz	0.582786630817	0.540642577309	0.313238363893	0.283864599854
Frequency_of_tiredness__lethargy_in_last_2_weeks.2080.bgz	0.458601874026	0.44005685499200003	0.205719803856	0.19261984349199998
Frequency_of_unenthusiasm__disinterest_in_last_2_weeks.2060.bgz	0.552526441764	0.52482709419	0.26225406994399997	0.246161069545
Fresh_fruit_intake.1309.bgz	0.36804693331200006	0.34086670285	0.180944769078	0.16689135680199998
Friendships_satisfaction.4570.bgz	0.789262659892	0.763336644535	0.35207039812299995	0.334350109109
Gas_or_solid-fuel_cookingheating:_An_open_solid_fuel_fire_that_you_use_regularly_in_winter_time.6139_3.bgz	0.993188760583	0.934428931562	0.509115491244	0.462959500448
General_happiness.20458.bgz	1.03071406344	0.967122958338	0.486307974441	0.458784603714
General_happiness_with_own_health.20459.bgz	0.767955887468	0.756429191851	0.313321881603	0.308631495969
Getting_up_in_morning.1170.bgz	0.600878988903	0.551588998069	0.259513008486	0.226546147024
Glycated_haemoglobin_mmolmol.30750_irnt.gz	0.680685887207	0.5994339942069999	0.341344730484	0.302495395324
Gonarthrosis_arthrosis_of_kneeFG.KNEE_ARTHROSIS.bgz	0.749802275188	0.750270782382	0.33077453250300004	0.31358861517299996
Guilty_feelings.2030.bgz	0.47459866454899996	0.447646640078	0.21925518728	0.201848315407
Haematocrit_percentage.30030_irnt.bgz	0.29207275816100003	0.286683160517	0.25988992259300003	0.224950179826
Haemoglobin_concentration.30020_irnt.bgz	0.305861143923	0.300947484742	0.24688051991300003	0.214889527628
Hairbalding_pattern:_Pattern_1.2395_1.bgz	0.8081129558399999	0.730117539013	0.342848833068	0.310008109475
Hairbalding_pattern:_Pattern_2.2395_2.bgz	1.1456723817399999	1.00903923885	0.5318474021940001	0.469336538482
Hairbalding_pattern:_Pattern_4.2395_4.bgz	0.946696341606	0.856609392376	0.406637722967	0.364092314603
Hand_grip_strength_left.46_irnt.bgz	0.248648129533	0.22747349611499998	0.121565865133	0.109425237796
Hand_grip_strength_right.47_irnt.bgz	0.28600992355300003	0.268854572276	0.1319938014	0.12010247749500001
Happiness.4526.bgz	0.9109449020460001	0.872109231171	0.393693572686	0.377322902179
Health_satisfaction.4548.bgz	0.6273954634610001	0.588438386318	0.289810001183	0.26648794392700004
Hearing_difficultyproblems:_No.2247_0.bgz	0.527070373876	0.4900420546	0.24068116536999998	0.22261131821
Hearing_difficultyproblems_with_background_noise.2257.bgz	0.42184427450900003	0.40416005180299996	0.20801733483100002	0.19135530095699999
Hearing_difficultyproblems:_Yes.2247_1.bgz	0.5249422646280001	0.487798060084	0.23979626887299998	0.221806617176
Heel_bone_mineral_density_BMD.3148_irnt.bgz	0.6226697025419999	0.572848351883	0.281733115787	0.261611440697
Heel_bone_mineral_density_BMD_left.4105_irnt.bgz	0.5042648410230001	0.471528824215	0.239065692928	0.22413937071400003
Heel_bone_mineral_density_BMD_right.4124_irnt.bgz	0.5233073529060001	0.49932424602799996	0.252295437475	0.240717329229
Heel_bone_mineral_density_BMD_T-score,_automated.78_irnt.bgz	0.619821593248	0.570641346538	0.281426146834	0.261397732177
Heel_bone_mineral_density_BMD_T-score,_automated_left.4106_irnt.bgz	0.51697545517	0.483317566808	0.245354402613	0.229643962898
Heel_bone_mineral_density_BMD_T-score,_automated_right.4125_irnt.bgz	0.520073639572	0.49663046182899995	0.249767578219	0.238489660902
Heel_Broadband_ultrasound_attenuation,_direct_entry.3144_irnt.bgz	0.617736289524	0.56904628904	0.272540784438	0.253253087311
Heel_broadband_ultrasound_attenuation_left.4101_irnt.bgz	0.544469155411	0.512874452803	0.24943977672899997	0.23574967464299998
Heel_broadband_ultrasound_attenuation_right.4120_irnt.bgz	0.576144046883	0.550018613432	0.268032231546	0.256530135303
Heel_quantitative_ultrasound_index_QUI,_direct_entry.3147_irnt.bgz	0.619824972341	0.570646292993	0.28143472459	0.26140466799
Heel_quantitative_ultrasound_index_QUI,_direct_entry_left.4104_irnt.bgz	0.51699537035	0.48333601084100003	0.245360464719	0.22965053702399998
Heel_quantitative_ultrasound_index_QUI,_direct_entry_right.4123_irnt.bgz	0.520072815875	0.49662680320200003	0.249766800096	0.238490679023
Hip_circumference.49_irnt.bgz	0.276624304073	0.23646676246599999	0.133246347304	0.115207295806
Home_location_-_north_co-ordinate_rounded.22704_irnt.bgz	0.888657226691	0.857498652787	0.390855612131	0.365940753434
Hospital_episode_type:_General_episode.41231_1.bgz	1.10328807986	1.07911684166	0.46748506039800003	0.43783500905699996
Hot_drink_temperature.1518.bgz	0.379731761494	0.359771565116	0.163557847206	0.148255597514
How_are_people_in_household_related_to_participant:_Husband,_wife_or_partner.6141_1.bgz	0.835391636848	0.793199000088	0.348842313164	0.321313502225
IGF-1_nmolL.30770_irnt.gz	0.809894740755	0.6872983364190001	0.328462005843	0.281347902162
Illnesses_of_father:_Diabetes.20107_9.bgz	0.993405207942	0.940569663705	0.440307748807	0.423240529009
Illnesses_of_father:_Heart_disease.20107_1.bgz	0.674499570395	0.7218877977689999	0.296649713973	0.29632502452799997
Illnesses_of_father:_High_blood_pressure.20107_8.bgz	0.848696401478	0.801431359322	0.377384229646	0.352300571932
Illnesses_of_mother:_Diabetes.20110_9.bgz	1.0264284075799999	0.9484200570379999	0.44974061954800004	0.40274505096
Illnesses_of_mother:_High_blood_pressure.20110_8.bgz	0.6909497294149999	0.672898521648	0.311112648514	0.29437956249499997
Illnesses_of_mother:_None_of_the_above_group_1.20110_100.bgz	1.02017041324	0.976188948592	0.458745796934	0.440866169127
Illnesses_of_siblings:_Diabetes.20111_9.bgz	0.888789275563	0.841932526398	0.356023092683	0.339275173319
Illnesses_of_siblings:_Heart_disease.20111_1.bgz	0.9411747409350001	0.901440716514	0.424967526386	0.39704165688000004
Illnesses_of_siblings:_High_blood_pressure.20111_8.bgz	0.5835653740110001	0.56311024306	0.263327117134	0.255777455654
Illnesses_of_siblings:_None_of_the_above_group_1.20111_100.bgz	0.615227664405	0.60322084054	0.277227033391	0.268668509198
Illness,_injury,_bereavement,_stress_in_last_2_years:_Financial_difficulties.6145_6.bgz	0.583860543833	0.544450147463	0.293899080516	0.261287747869
Illness,_injury,_bereavement,_stress_in_last_2_years:_None_of_the_above.6145_100.bgz	0.714744076672	0.654661321254	0.290696675757	0.258709347073
Illness,_injury,_bereavement,_stress_in_last_2_years:_Serious_illness,_injury_or_assault_to_yourself.6145_1.bgz	1.1036576037899999	1.0710781139899999	0.455602972044	0.423637647659
Immature_reticulocyte_fraction.30280_irnt.bgz	0.459036833219	0.414982007383	0.253449867888	0.236645199307
Impedance_of_arm_left.23110_irnt.bgz	0.222883923026	0.22439211448399998	0.115025783484	0.109260432568
Impedance_of_arm_right.23109_irnt.bgz	0.220910970697	0.222894307743	0.11473739718	0.108657362249
Impedance_of_leg_left.23108_irnt.bgz	0.250712191889	0.232635315554	0.137603470428	0.12232541091700001
Impedance_of_leg_right.23107_irnt.bgz	0.256901703695	0.238453063497	0.14255369714500002	0.12643105130899998
Impedance_of_whole_body.23106_irnt.bgz	0.24450149774799998	0.23936795855999998	0.13519005858799998	0.124202857438
Injury,_poisoning_and_certain_other_consequences_of_external_causes.XIX_INJURY_POISON.bgz	0.9546030909700001	0.8491686396889999	0.418107645677	0.359034985321
Intra-ocular_pressure,_corneal-compensated_left.5262_irnt.bgz	0.634210424468	0.5883666152579999	0.27786043018199996	0.263243855383
Intra-ocular_pressure,_corneal-compensated_right.5254_irnt.bgz	0.676967471912	0.633785037888	0.299781325368	0.27931911649
Intra-ocular_pressure,_Goldmann-correlated_left.5263_irnt.bgz	0.48973363352399996	0.474615222438	0.24337298338399999	0.242012586973
Intra-ocular_pressure,_Goldmann-correlated_right.5255_irnt.bgz	0.518073875616	0.49931667802699997	0.253512572088	0.25364485613800003
Invitation_to_complete_online_24-hour_recall_dietary_questionnaire,_acceptance.110001.bgz	0.735225882738	0.696371292914	0.34246200502400004	0.323591793482
Irritability.1940.bgz	0.399203284356	0.374431811962	0.176207495636	0.164822912553
Ischaemic_heart_disease,_wide_definition.I9_IHD.bgz	0.592589476223	0.622586537034	0.26539627952399997	0.264062258563
Job_involves_heavy_manual_or_physical_work.816.bgz	0.437393471327	0.432741514355	0.20643280450999998	0.202797782135
Job_involves_mainly_walking_or_standing.806.bgz	0.466530598196	0.47062302296999997	0.23320001128000004	0.220283502923
Job_involves_shift_work.826.bgz	0.74998151373	0.719560027033	0.33849073158799997	0.308406735196
Leg_fat-free_mass_left.23117_irnt.bgz	0.255376296235	0.226646586122	0.119812993292	0.109304447989
