0	SNPs_in_ALLEUR_sprime_segments_neanMatchingFilter.bed	SNPs_in_ALLEUR_sprime_segments_neanMatchingFilter_MINUS_ALL1KG_sprime_results_r2=.5.bed
CrohnsDz	0.7159609570890001	0.7264591450519999
EosinophilCount	0.880117894384	0.9283353114120001
T2D2	0.912422266911	0.9547086008560001
MenarcheAge	0.9952946947329999	1.06093657301
HairColor	0.9855015426260001	1.0143113367299998
Heel_T_Score	0.9470457644670001	0.96547070009
DepressiveSxs	0.945629106479	1.01097777374
Sunburn	1.16478150933	1.23798033766
HDL	0.768825451251	0.792835094134
AutoimmuneDz	0.939956867971	0.9043515627399998
NumChildrenBorn	0.929441962028	0.9959793693619999
Tanning	1.25227267065	1.34558878264
Height2	0.8947569128470001	0.9205487413060001
MenopauseAge	0.98973911249	1.00330269141
PlateletCount	0.833054529465	0.876472643273
HighCholesterol	0.835101765077	0.8881031261910001
RDW	0.8845109143000001	0.914375457405
RA	0.794076689297	0.832224648557
FirstBirthAge	0.8818101654009999	0.9335397440019999
Hypothyroidism	0.787520840413	0.825046677015
BMI2	0.867204284432	0.904101051425
SmokingStatus	0.887527778424	0.9323176589450001
UC	0.872808045239	0.952966655255
SystolicBP	0.882147871696	0.9280424264229999
MorningPerson	0.966558012895	1.00655219457
Resp_ENT_Dz	0.876243423092	0.927551914279
ASD	0.823826478276	0.819806035159
RBCCount	0.876265271723	0.9218573315719999
FVC	0.9396149652060001	0.965033126868
WaistHipRatio	0.884689627906	0.913138127239
Eczema	0.954347797596	0.987919248716
Schizophrenia	0.874361036376	0.9146650331899999
WBCCount	0.8496306323010001	0.871638753334
Anorexia	0.824610979903	0.8289041877940001
FEV1_FVC_Ratio	0.9676131015970001	1.0039816208
Neuroticism	0.911003004426	0.9438522099590001
DermDz	0.875808483587	0.9359913371870001
SkinColor	1.2139174246200002	1.27122104265
YearsOfEd2	0.866898412816	0.910296311952
Balding	0.913452157215	0.9340944254700001
LDL	0.9167942702799999	0.9938078380159999
