0	SNPs_in_ALLEUR_sprime_segments_neanMatchingFilter.bed	SNPs_in_ALLEUR_sprime_segments_neanMatchingFilter_MINUS_ALL1KG_sprime_results_r2=.5.bed
CrohnsDz	0.0001982220152610141	0.0016143235103372694
EosinophilCount	0.05085796646081758	0.32390194226764124
T2D2	0.08773562525702427	0.4554007721915396
MenarcheAge	0.9211093358357788	0.30520921155036085
HairColor	0.9225634735144088	0.9335362911775456
Heel_T_Score	0.4472987833337848	0.6490348501548715
DepressiveSxs	0.5923102393032815	0.9286661975676572
Sunburn	0.31239603564087337	0.2184817174814061
HDL	0.007271340057040434	0.025838888193027442
AutoimmuneDz	0.6550187603166319	0.5565158728532478
NumChildrenBorn	0.4102115376283921	0.9686926345738656
Tanning	0.3530779989798163	0.27121080236878115
Height2	0.020631555059420263	0.1216890792562601
MenopauseAge	0.9041535872563788	0.9720357261297132
PlateletCount	0.002106233584082805	0.06551415701498034
HighCholesterol	0.06230365871800408	0.27362935881707634
RDW	0.05151303223426483	0.2418182256178325
RA	0.023568283993473105	0.14327772985036125
FirstBirthAge	0.030200220362170026	0.3135089148755572
Hypothyroidism	0.0019040895225264085	0.03435500821264466
BMI2	9.098827239020793e-05	0.010051936912921479
SmokingStatus	0.001940599555978996	0.09959915832134536
UC	0.21524845367205256	0.6896313043325684
SystolicBP	0.0018071794401784452	0.11293862709936996
MorningPerson	0.4116486118874938	0.8892962644792048
Resp_ENT_Dz	0.048177247814459936	0.3003388749771698
ASD	0.03845531712386109	0.07349164167175201
RBCCount	0.025948915024149925	0.23860273491489656
FVC	0.06451225333880742	0.3084765112691556
WaistHipRatio	0.015097341504055926	0.10977639928571806
Eczema	0.5329456171737452	0.869778838531287
Schizophrenia	0.0015577778907614073	0.06551403841317305
WBCCount	0.00018841269791279637	0.005712001527646431
Anorexia	0.03470362904714129	0.0770614053764725
FEV1_FVC_Ratio	0.4918263211748076	0.942244163003358
Neuroticism	0.11173892362827112	0.387306432596142
DermDz	0.3736542880388265	0.6974325485357854
SkinColor	0.4344336558936227	0.3632613981244728
YearsOfEd2	5.1701773385679464e-05	0.01776625184250529
Balding	0.2661641006089045	0.4511282582727605
LDL	0.4781502966066084	0.962936267012169
