0	SNPs_in_ALLEUR_sprime_segments_neanMatchingFilter.bed	SNPs_in_ALLEUR_sprime_segments_neanMatchingFilter_MINUS_ALL1KG_sprime_results_r2=.5.bed
CrohnsDz	0.07767030935949999	0.089847181352
EosinophilCount	0.060838134129499996	0.0728024276407
T2D2	0.0499119969065	0.060306036185900004
MenarcheAge	0.0474537859375	0.059971928279
HairColor	0.152775695642	0.174506311041
Heel_T_Score	0.0710077479884	0.0769916867082
DepressiveSxs	0.100099167873	0.122870875017
Sunburn	0.162366294448	0.189332770873
HDL	0.0832654275144	0.09258271882710001
AutoimmuneDz	0.1331845226	0.162016506965
NumChildrenBorn	0.0857358342079	0.10256795392899999
Tanning	0.277886798527	0.31656224823
Height2	0.0453749718872	0.05151293379369999
MenopauseAge	0.0856479742014	0.0943637867312
PlateletCount	0.0525161848459	0.066590521119
HighCholesterol	0.0919777491431	0.106294476567
RDW	0.058891909298	0.0735264239385
RA	0.09154904108339999	0.115131102363
FirstBirthAge	0.0536057244151	0.0656126955371
Hypothyroidism	0.0639802708186	0.0803429205694
BMI2	0.0326818553518	0.0366548358295
SmokingStatus	0.0351116223841	0.040566052030699996
UC	0.10396427031300001	0.11852039902599999
SystolicBP	0.037503068202300004	0.045590492051800005
MorningPerson	0.0406985376088	0.0470500430989
Resp_ENT_Dz	0.061322040506699996	0.0697496237786
ASD	0.08308176363900001	0.10019235546000001
RBCCount	0.0555279992782	0.0668345480791
FVC	0.0325376201763	0.034289826199099996
WaistHipRatio	0.046091777392999994	0.05355966797180001
Eczema	0.0744666555364	0.0747079169615
Schizophrenia	0.039457735383300004	0.0462427599545
WBCCount	0.038979463162599995	0.04584044525719999
Anorexia	0.0811975129307	0.0957296524327
FEV1_FVC_Ratio	0.0473862333535	0.0550557702731
Neuroticism	0.0526900557197	0.06337679086140001
DermDz	0.140568733896	0.165704641962
SkinColor	0.277411090737	0.298187223391
YearsOfEd2	0.031964613917299996	0.0375085258805
Balding	0.07818235269019999	0.08812927463819999
LDL	0.11773628433399999	0.134258472859
