0	ALLEUR_NMATCH_sprime_results.bed	ALL1KG_NMATCH_sprime_results.bed	ALLEUR_sprime_results.bed	ALL1KG_sprime_results.bed
CrohnsDz	0.8822196236064637	0.6265156117462187	0.7118189778745252	0.3482040078258117
EosinophilCount	0.20239401419980774	0.1834148738410543	0.7729062607829986	0.6595989350669926
T2D2	0.6808552352213	0.8921591988320706	0.3134771341904277	0.21340544098070252
MenarcheAge	0.6568385509735413	0.4711761617855995	0.04532917963365411	0.031351668211313764
HairColor	0.4645638115684269	0.6221200637026267	0.7268084700521421	0.9246179592935752
Heel_T_Score	0.12629076489591845	0.26692455198818577	0.754712516327297	0.8868273967667435
DepressiveSxs	0.33566955668842513	0.4643625121196437	0.35007027488161974	0.444678363492605
Sunburn	0.2081974228811772	0.27254246779663865	0.4155586510888365	0.4965808945178649
HDL	0.10226365796014752	0.09791795947448007	0.0373557703264742	0.05851975997888936
AutoimmuneDz	0.02807926388147352	0.01802520601798586	0.3452597696909481	0.20692928309477646
NumChildrenBorn	0.96124313452429	0.8914001823558267	0.6622649227133335	0.6612016551328566
Tanning	0.5923338463328032	0.779272691566191	0.6553041341283762	0.6023758462641047
Height2	0.9178079286075034	0.998595832164421	0.18721146878804185	0.16852891946401327
MenopauseAge	0.29253432568797394	0.3361752813524349	0.4573419098451059	0.5711734435731863
PlateletCount	0.28063803452438923	0.4162306942555859	0.0014472729473191447	0.0043488902652122656
HighCholesterol	0.005572946529543308	0.0037656140688983493	0.0026407761166699355	0.0013722359616536455
RDW	0.7719318179464648	0.4601575111953232	0.4110501777671921	0.7689580496189038
RA	0.7254851395945923	0.7528074481954643	0.2222564573048785	0.24972123948300756
FirstBirthAge	0.26972263513179545	0.165326307877956	0.03432483707515956	0.012919011415784522
Hypothyroidism	0.6308814612780007	0.6818228137255538	0.014851057616288969	0.01642151204472112
BMI2	0.710804707556682	0.5072187158950352	0.005368065513153496	0.0009568080516995358
SmokingStatus	0.6941985028895472	0.8711618488063206	0.06089906301065525	0.04418386678357072
UC	0.929355561364652	0.539325779584428	0.3501483297859445	0.266196642138729
SystolicBP	0.5682685587039216	0.4834975190851528	0.0014344902568976044	0.00036522623122221695
MorningPerson	0.17407698468702062	0.22137327488943107	0.7605083721088558	0.9523784246604288
Resp_ENT_Dz	0.836419997643897	0.6901222686267989	0.15988125151456736	0.215558455764334
ASD	0.8599878850887831	0.6598128802674135	0.5861942982421924	0.24264422387632814
RBCCount	0.6920894908245112	0.8861559839962722	0.2363992743667986	0.8348136867833474
FVC	0.06858813647176369	0.06806618301966695	0.8078137537010218	0.7796490428079619
WaistHipRatio	0.5172820753988607	0.6881546437251868	0.07398043189184075	0.026026639391512226
Eczema	0.459480753259698	0.3953440951273773	0.9554437939016313	0.9794139681843456
Schizophrenia	0.7984287708525432	0.8591747325452624	0.15143546081661988	0.13303407460305275
WBCCount	0.10048784629702268	0.1267998131457306	0.4051737324866701	0.6101336493214818
Anorexia	0.08509055847002965	0.11849412569868467	0.22187063006117066	0.2768995995466112
FEV1_FVC_Ratio	0.4297634027942751	0.20359488546798726	0.3044507175463227	0.7427943016229328
Neuroticism	0.3731404330819399	0.20140754573127692	0.40560327305778	0.22888019394509065
DermDz	0.883536711925067	0.6480723055849609	0.4671308864163752	0.8673029933130891
SkinColor	0.507903850676644	0.6897795876442201	0.5151464330046862	0.5121367097230276
YearsOfEd2	0.7180828379547982	0.8023971651522765	0.007250115400022695	0.004126166005314349
Balding	0.06832220779491452	0.07872561320053803	0.37157230837077415	0.2898775825252627
LDL	0.45591872121110105	0.4774888191542133	0.1876653175618148	0.1559822151403444
