0	ALLEUR_NMATCH_sprime_results.bed	ALL1KG_NMATCH_sprime_results.bed	ALLEUR_sprime_results.bed	ALL1KG_sprime_results.bed
CrohnsDz	0.695783904433	0.636053784818	0.530309000715	0.462373621
EosinophilCount	0.41448254167099996	0.35661212902199996	0.203005077619	0.17424001495799998
T2D2	0.48357624726099996	0.45178813829099995	0.204123930753	0.19039885046799998
MenarcheAge	0.250637649789	0.232888536035	0.11725617925000001	0.11536756026100001
HairColor	1.27669281722	1.08269960524	0.563275896507	0.504776831999
Heel_T_Score	0.49920930299500005	0.452124939013	0.24668142357500003	0.22506460522500002
DepressiveSxs	1.0424944921	0.9901113129469999	0.48125119221199997	0.46195105505500006
Sunburn	0.8646109414	0.786521476085	0.422544670704	0.42414824546700003
HDL	0.7063561867460001	0.678758108188	0.352376306099	0.343654462364
AutoimmuneDz	1.47504324232	1.4544623988499998	0.55180786345	0.531835949341
NumChildrenBorn	0.819689872959	0.7557154014949999	0.407060286413	0.36534527469000005
Tanning	1.45060983182	1.24740868361	0.7057667130930001	0.6721884270039999
Height2	0.272478755174	0.255283514026	0.130520788317	0.130195687689
MenopauseAge	1.1476361497399998	1.0058839066399998	0.45396545619199996	0.404219599606
PlateletCount	0.28992410657900003	0.29018895547	0.137032207082	0.137188018203
HighCholesterol	0.456989224624	0.447342697735	0.251334440466	0.24457347023899997
RDW	0.394261296307	0.407297980256	0.19815175633	0.210894541693
RA	0.9064802198559999	0.917328255465	0.40507849971	0.404922177693
FirstBirthAge	0.469634182613	0.44370977119599997	0.223310900338	0.20428706648400002
Hypothyroidism	0.40554799306999995	0.3805185421	0.19834176288199998	0.189326002474
BMI2	0.24819995797699998	0.205755158742	0.126689377258	0.09843150687560001
SmokingStatus	0.301460212256	0.281991752089	0.13830281734000002	0.127106739101
UC	0.7602372412720001	0.705296275126	0.39818004075499996	0.382147208708
SystolicBP	0.232864985389	0.22050609814	0.10524643021199999	0.0990275407498
MorningPerson	0.45815349045000003	0.416148128565	0.194277416166	0.17078596134500001
Resp_ENT_Dz	0.498402509912	0.455642769221	0.228646699056	0.207653543891
ASD	0.934375478834	0.9261639880239999	0.446455003282	0.42449013272299996
RBCCount	0.310148558163	0.312923320494	0.199697352627	0.236589906105
FVC	0.44761608888000004	0.415120578939	0.17076050488800001	0.16076081257799998
WaistHipRatio	0.30928518060800003	0.283387820832	0.141321325378	0.129568437078
Eczema	0.742042888432	0.685453778984	0.381726926496	0.34224395725
Schizophrenia	0.44004897087300004	0.413926234815	0.197732806903	0.184330592326
WBCCount	0.310338582588	0.279879203735	0.14590436355	0.145810638343
Anorexia	1.09953539359	1.055466722	0.49442225662	0.446983584457
FEV1_FVC_Ratio	0.38320140750299997	0.354211803769	0.156179489271	0.146455513901
Neuroticism	0.507828825693	0.472569843571	0.263224972942	0.236092636651
DermDz	1.39049769456	1.29418398432	0.56260559865	0.514444274691
SkinColor	1.3630921268399998	1.20006725282	0.728358430229	0.630062714838
YearsOfEd2	0.236165870218	0.222585315145	0.121670429015	0.11329616015699999
Balding	0.698688089011	0.623756300474	0.310216278557	0.281191395442
LDL	0.9141777333040001	0.899020988911	0.435832241902	0.408396566822
