0	Neanderthal introgressed haplotypes	132,296 Neanderthal SNPs
EosinophilCount	0.3950090354196472	0.2304694889971639
MenopauseAge	0.32054773782182405	0.26735517703761513
RA	0.663749594450836	0.937677400283097
MorningPerson	0.8963400305208382	0.3861066849072961
Hypothyroidism	0.00849966074234656	0.5561177927316528
Heel_T_Score	0.07998288388167425	0.6052773386458852
LDL	0.13640398083082494	0.3506110226790422
YearsOfEd2	0.08315785907228135	0.5982008442541142
FEV1_FVC_Ratio	0.7110347589273281	0.3359156869448906
HighCholesterol	0.03124867863043324	0.012373373483087346
PlateletCount	0.0009271770798202193	0.33972799046215985
Eczema	0.3550214052066778	0.886133438994486
DermDz	0.7508726361931296	0.6487420915813018
Schizophrenia	0.4226912465673568	0.5017576924862875
NumChildrenBorn	0.3017073673604607	0.7136744802581565
Neuroticism	0.40464502831112453	0.15684108791690102
FirstBirthAge	0.21046741829555132	0.2462015288873048
HairColor	0.07508742215426327	0.7656894896341534
Height2	0.051982994508545294	0.885003699972642
HDL	0.03972094424929361	0.03799760851058869
CrohnsDz	0.00020637708458543275	0.5208691955453049
FVC	0.6712478960212955	0.09296828932705457
SystolicBP	0.06717254315021678	0.35296059573158955
SmokingStatus	0.4821425375734123	0.6707202120209805
RDW	0.0015246241223947044	0.7929265297784227
T2D2	0.02726227341683923	0.925395071317728
BMI2	0.003469581358160226	0.3847534927655771
DepressiveSxs	0.4101600533549243	0.14339814003190215
WaistHipRatio	0.1354001586497466	0.578112928799122
RBCCount	0.008021708452228027	0.4839059828957102
Resp_ENT_Dz	0.3192313855050459	0.8309146936173978
AutoimmuneDz	0.4262799410198229	0.055470833378385764
Tanning	0.6637751665211904	0.5320453936602507
Sunburn	0.5695185039808606	0.7182418284714785
WBCCount	0.011633940184642436	0.19558190716388188
SkinColor	0.9155490886985044	0.8800819334372461
MenarcheAge	0.6819251879682307	0.640799725924885
ASD	0.4148268696772751	0.8500561424273813
Balding	0.8904711064461907	0.09978904238202142
Anorexia	0.8045866885829106	0.30544033075645355
UC	0.2877295001750488	0.7341552818769846
