0	Neanderthal introgressed haplotypes	132,296 Neanderthal SNPs
EosinophilCount	0.06335934231380001	0.476381199404
MenopauseAge	0.08462494813989999	1.5025243543
RA	0.112131436774	1.32008748009
MorningPerson	0.0424531043138	0.43005468947400005
Hypothyroidism	0.070413497115	0.524044292981
Heel_T_Score	0.0660816778519	0.6567365886300001
LDL	0.115462475078	1.1972061765200002
YearsOfEd2	0.035883880976	0.318692698776
FEV1_FVC_Ratio	0.0455244139982	0.41421015903700004
HighCholesterol	0.09512980557560001	0.5574071195310001
PlateletCount	0.05130005610380001	0.38185388452
Eczema	0.0663898427499	0.8044609305789999
DermDz	0.147212150809	1.5137515820299998
Schizophrenia	0.0449782563337	0.490324650279
NumChildrenBorn	0.098202392217	1.14210823457
Neuroticism	0.0741417326955	0.652730807847
FirstBirthAge	0.0568450508964	0.692032510576
HairColor	0.107383379443	0.879431761583
Height2	0.0479342844419	0.34108790630400004
HDL	0.09387324149250001	0.7746263051450001
CrohnsDz	0.0889033122356	1.0262019849500001
FVC	0.0326094530587	0.296768318783
SystolicBP	0.041701661574300004	0.305702518388
SmokingStatus	0.0382454307624	0.40877227303900004
RDW	0.060714259317500005	0.532173019732
T2D2	0.055404053951500006	0.6058972304860001
BMI2	0.0349434168719	0.275458176846
DepressiveSxs	0.122900930277	1.34939564813
WaistHipRatio	0.0466495903505	0.380562353853
RBCCount	0.0502300000375	0.41038393372500004
Resp_ENT_Dz	0.0683868097903	0.6115458661909999
AutoimmuneDz	0.171899304538	1.94124793832
Tanning	0.17596073031	1.3370133765899999
Sunburn	0.095077011591	0.820783825784
WBCCount	0.0441493249773	0.364383280474
SkinColor	0.201749413963	1.53020297349
MenarcheAge	0.0536820257964	0.345589590951
ASD	0.10359273570800001	1.2635849218000001
Balding	0.0820937849874	0.9161600860670001
Anorexia	0.09227430655050001	1.7228375650999999
UC	0.113160768679	0.969360123086
