0	ALLEUR_plusVindija_sprime_segments_neanMatchingFilter.bed	EUR_VMATCH_sprime_results.bed
EosinophilCount	0.08151857100440657	0.2439268553427888
MenopauseAge	0.8480869354842584	0.32499928095931013
RA	0.023091933941990928	0.4781382168898786
MorningPerson	0.38500995184537296	0.16666663818354546
Hypothyroidism	0.0035333581664194953	0.4849013579137964
Heel_T_Score	0.4506836123929298	0.14755738561797954
LDL	0.5008402838364655	0.42446603904488983
YearsOfEd2	5.675803078187767e-05	0.6468949667571151
FEV1_FVC_Ratio	0.5137460332479351	0.39683932762776974
HighCholesterol	0.09664330516093772	0.014537997041896887
PlateletCount	0.002926624072845116	0.3831198857874492
Eczema	0.5155983543477307	0.4927447695932323
DermDz	0.4037320920841544	0.9364249887275388
Schizophrenia	0.0010955934053531232	0.7629059430545418
NumChildrenBorn	0.4286111250632663	0.863322819714451
Neuroticism	0.16134157467579216	0.37851783201827377
FirstBirthAge	0.05431485046944806	0.32352478098470405
HairColor	0.7435224585015936	0.4648085980509473
Height2	0.016115393001845838	0.9212041230067172
HDL	0.006485160796533226	0.17388685120798686
CrohnsDz	0.00012396867505675725	0.4565622643103693
FVC	0.06118403096594894	0.0560229317872987
SystolicBP	0.004766913775177645	0.5029707154585317
SmokingStatus	0.0018661577332468406	0.7325923472415242
RDW	0.043724023779685525	0.95673514891884
T2D2	0.09362922393438068	0.8201052040212106
BMI2	0.00018023994058958436	0.6063254207724813
DepressiveSxs	0.6925330722421934	0.5780601073907279
WaistHipRatio	0.014841692992954009	0.5094548833055492
RBCCount	0.02579317487402824	0.61327417485205
Resp_ENT_Dz	0.02500310189595866	0.8877715006375207
AutoimmuneDz	0.671030482858467	0.028191298774005457
Tanning	0.2720088554204905	0.4946206911096746
Sunburn	0.22487478546185366	0.2309477663995109
WBCCount	0.0001255253514327807	0.1519072572884534
SkinColor	0.4218063288088368	0.4821760350279706
MenarcheAge	0.9550352058583498	0.5471700811687206
ASD	0.04273339111957775	0.6855519741095674
Balding	0.3038142235687201	0.06429467456508003
Anorexia	0.05857511062989815	0.15556833831762126
UC	0.2324316007585751	0.8644078903180341
