0	ALLEUR_plusVindija_sprime_segments_neanMatchingFilter.bed	EUR_VMATCH_sprime_results.bed
EosinophilCount	0.06308126296519999	0.350518971364
MenopauseAge	0.0853883656261	0.911771237696
RA	0.0926595782762	0.738964331015
MorningPerson	0.0405755930502	0.377634499288
Hypothyroidism	0.0640895464731	0.327915993632
Heel_T_Score	0.069725719385	0.482614104316
LDL	0.11680336686699999	0.791742445674
YearsOfEd2	0.0316752463122	0.20381209084000002
FEV1_FVC_Ratio	0.0466183785764	0.306285492665
HighCholesterol	0.0923053658296	0.40367745774999997
PlateletCount	0.0518497809613	0.258995281315
Eczema	0.0740710833412	0.636779922157
DermDz	0.13890054779799998	1.14590420685
Schizophrenia	0.0391617949566	0.36412980636299996
NumChildrenBorn	0.08496341954679999	0.7160048385240001
Neuroticism	0.0512738484673	0.412735100653
FirstBirthAge	0.05268093065280001	0.406111373692
HairColor	0.181289027882	1.10121446896
Height2	0.0443377704356	0.235975964796
HDL	0.0830762163849	0.645403616811
CrohnsDz	0.0783405251364	1.40222275282
FVC	0.0321563010292	0.35038718762500004
SystolicBP	0.038330044133	0.19426440770999998
SmokingStatus	0.0346997036461	0.245224457491
RDW	0.0582816138617	0.32460417235
T2D2	0.049793469965	0.37575455333200003
BMI2	0.0326773550591	0.203980949673
DepressiveSxs	0.0992076344313	0.8741653154250001
WaistHipRatio	0.0460268243083	0.26926168859
RBCCount	0.0548715941014	0.262492580614
Resp_ENT_Dz	0.0608279509626	0.417180059688
AutoimmuneDz	0.132695457602	1.2953215031
Tanning	0.288970412164	1.30859581539
Sunburn	0.163020123906	0.7600827164759999
WBCCount	0.038552287919400005	0.254508313739
SkinColor	0.264711602237	1.2274970676
MenarcheAge	0.046474210265300006	0.213174380168
ASD	0.08269655274950001	0.751241356503
Balding	0.0764831938961	0.5675850614010001
Anorexia	0.081232274023	0.9996368436390001
UC	0.10385124268899999	0.72861784705
