Trait_code	Trait_name	Domain	ChapterLevel	SubchapterLevel	OriginalFileName	EvonneFileName
102_irnt	Pulse rate, automated reading	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Heart Functions	102_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Pulse_rate,_automated_reading.102_irnt.bgz
1050	Time spend outdoors in summer	Activities	Self-Care	Looking After One's Health	1050.ldsc.imputed_v3.both_sexes.tsv.bgz	Time_spend_outdoors_in_summer.1050.bgz
1060	Time spent outdoors in winter	Activities	Self-Care	Looking After One's Health	1060.ldsc.imputed_v3.both_sexes.tsv.bgz	Time_spent_outdoors_in_winter.1060.bgz
1070	Time spent watching television (TV)	Activities	Self-Care	Looking After One's Health	1070.ldsc.imputed_v3.both_sexes.tsv.bgz	Time_spent_watching_television_TV.1070.bgz
1080	Time spent using computer	Activities	Self-Care	Looking After One's Health	1080.ldsc.imputed_v3.both_sexes.tsv.bgz	Time_spent_using_computer.1080.bgz
1090	Time spent driving	Activities	Self-Care	Looking After One's Health	1090.ldsc.imputed_v3.both_sexes.tsv.bgz	Time_spent_driving.1090.bgz
1100	Drive faster than motorway speed limit	Activities	Self-Care	Looking After One's Health	1100.ldsc.imputed_v3.both_sexes.tsv.bgz	Drive_faster_than_motorway_speed_limit.1100.bgz
110001	Invitation to complete online 24-hour recall dietary questionnaire, acceptance	Psychiatric	Mental Functions	Temperament and Personality Functions	110001.ldsc.imputed_v3.both_sexes.tsv.bgz	Invitation_to_complete_online_24-hour_recall_dietary_questionnaire,_acceptance.110001.bgz
1160	Sleep duration	Psychiatric	Mental Functions	Sleep Functions	1160.ldsc.imputed_v3.both_sexes.tsv.bgz	Sleep_duration.1160.bgz
1170	Getting up in morning	Psychiatric	Mental Functions	Sleep Functions	1170.ldsc.imputed_v3.both_sexes.tsv.bgz	Getting_up_in_morning.1170.bgz
1180	Morning/evening person (chronotype)	Psychiatric	Mental Functions	Sleep Functions	1180.ldsc.imputed_v3.both_sexes.tsv.bgz	Morningevening_person_chronotype.1180.bgz
1190	Nap during day	Psychiatric	Mental Functions	Sleep Functions	1190.ldsc.imputed_v3.both_sexes.tsv.bgz	Nap_during_day.1190.bgz
1200	Sleeplessness / insomnia	Neurological	Diseases of the Nervous System	Sleep Disorders	1200.ldsc.imputed_v3.both_sexes.tsv.bgz	Sleeplessness__insomnia.1200.bgz
1210	Snoring	Psychiatric	Mental Functions	Sleep Functions	1210.ldsc.imputed_v3.both_sexes.tsv.bgz	Snoring.1210.bgz
1220	Daytime dozing / sleeping (narcolepsy)	Psychiatric	Mental Functions	Sleep Functions	1220.ldsc.imputed_v3.both_sexes.tsv.bgz	Daytime_dozing__sleeping_narcolepsy.1220.bgz
1239	Current tobacco smoking	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Tobacco	1239.ldsc.imputed_v3.both_sexes.tsv.bgz	Current_tobacco_smoking.1239.bgz
1249	Past tobacco smoking	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Tobacco	1249.ldsc.imputed_v3.both_sexes.tsv.bgz	Past_tobacco_smoking.1249.bgz
1279	Exposure to tobacco smoke outside home	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Tobacco	1279.ldsc.imputed_v3.both_sexes.tsv.bgz	Exposure_to_tobacco_smoke_outside_home.1279.bgz
1289	Cooked vegetable intake	Nutritional	Self-Care	Food	1289.ldsc.imputed_v3.both_sexes.tsv.bgz	Cooked_vegetable_intake.1289.bgz
1299	Salad / raw vegetable intake	Nutritional	Self-Care	Food	1299.ldsc.imputed_v3.both_sexes.tsv.bgz	Salad__raw_vegetable_intake.1299.bgz
1309	Fresh fruit intake	Nutritional	Self-Care	Food	1309.ldsc.imputed_v3.both_sexes.tsv.bgz	Fresh_fruit_intake.1309.bgz
1319	Dried fruit intake	Nutritional	Self-Care	Food	1319.ldsc.imputed_v3.both_sexes.tsv.bgz	Dried_fruit_intake.1319.bgz
135	Number of self-reported non-cancer illnesses	Mortality	Mortality	All-Cause Mortality	135.ldsc.imputed_v3.both_sexes.tsv.bgz	Number_of_self-reported_non-cancer_illnesses.135.bgz
136	Number of operations, self-reported	Activities	Self-Care	Looking After One's Health	136.ldsc.imputed_v3.both_sexes.tsv.bgz	Number_of_operations,_self-reported.136.bgz
137	Number of treatments/medications taken	Activities	Self-Care	Looking After One's Health	137.ldsc.imputed_v3.both_sexes.tsv.bgz	Number_of_treatmentsmedications_taken.137.bgz
